;;Female;;;Males;
Rank;;initial given name;number;;initial given name;number
146;;Sabine;9.816;;Hendricus;10.552
147;;Melanie;9.776;;Joannes;10.488
148;;Kelly;9.683;;Mohammed;10.106
149;;Tess;9.605;;Karel;10.083
150;;Lena;9.601;;Andries;10.032
151;;Jeannette;9.504;;Justin;9.995
152;;Marloes;9.485;;Levi;9.809
153;;Floor;9.328;;Pim;9.747
154;;Marion;9.323;;Arjan;9.746
155;;Ilona;9.267;;Gijsbertus;9.675
156;;Nancy;9.112;;Finn;9.638
157;;Annemarie;9.100;;Ali;9.420
158;;Leonie;9.092;;Teun;9.403
159;;Dina;9.078;;Noah;9.342
160;;Lisanne;9.060;;Stan;9.329
161;;Lynn;8.951;;Laurens;9.320
162;;Jennifer;8.905;;Menno;9.188
163;;Marit;8.893;;Casper;9.055
164;;Elise;8.854;;Aart;9.041
165;;Paulina;8.827;;Bob;9.041
166;;Lucia;8.812;;Gerhardus;8.858
167;;Martine;8.810;;Niek;8.800
168;;Natasja;8.638;;Derk;8.596
169;;Anneke;8.620;;Ricardo;8.551
170;;Fenna;8.604;;Gijsbert;8.535
171;;Kirsten;8.585;;Egbert;8.522
172;;Samantha;8.540;;Mees;8.496
173;;Jasmijn;8.453;;Roel;8.430
174;;Eveline;8.426;;Mathijs;8.385
175;;Renate;8.390;;Anne;8.324
176;;Nikki;8.339;;Bernard;8.262
177;;Amy;8.263;;Timo;8.258
178;;Anja;8.039;;Anton;8.096
179;;Stephanie;8.025;;Joep;8.035
180;;Susanne;7.979;;Ferdinand;8.029
181;;Marina;7.973;;Robbert;8.028
182;;Brigitte;7.938;;Christian;7.977
183;;Esmee;7.841;;Arthur;7.844
184;;Marleen;7.819;;Ryan;7.821
185;;Magdalena;7.747;;Roland;7.783
186;;Irma;7.740;;Jayden;7.750
187;;Rosa;7.680;;Ahmed;7.743
188;;Antoinette;7.664;;Stephan;7.701
189;;Hendrina;7.649;;Alex;7.610
190;;Paula;7.637;;Leon;7.485
191;;Evelien;7.614;;Louis;7.407
192;;Milou;7.558;;Job;7.392
193;;Renske;7.544;;Brian;7.360
194;;Willy;7.448;;Jens;7.323
195;;Joanna;7.364;;Rik;7.276
196;;Rianne;7.276;;Guido;7.224
197;;Carmen;7.225;;Ivo;7.204
198;;Brenda;7.219;;Wessel;7.198
199;;Ida;7.206;;Arnold;7.150
200;;Everdina;7.166;;Rens;7.136
201;;Annemieke;7.105;;Rutger;7.093
202;;Robin;7.078;;Luca;7.018
203;;Pauline;6.983;;Ramon;7.001
204;;Danique;6.931;;Antonie;6.990
205;;Marije;6.910;;Cas;6.832
206;;Francina;6.901;;Pepijn;6.776
207;;Myrthe;6.889;;Dave;6.742
208;;Annie;6.865;;Reinier;6.669
209;;Cynthia;6.858;;Victor;6.663
210;;Marjan;6.856;;Daniel;6.631
211;;Frederika;6.767;;Jakob;6.587
212;;Gerritdina;6.765;;Tijn;6.573
213;;Lisette;6.747;;Luc;6.559
214;;Mila;6.673;;Johnny;6.539
215;;Hubertina;6.654;;Marten;6.496
216;;Silvia;6.634;;Mehmet;6.436
217;;Jantina;6.619;;Guus;6.400
218;;Ingeborg;6.606;;George;6.375
219;;Annette;6.602;;Jochem;6.334
220;;Evi;6.597;;Damian;6.329
221;;Andrea;6.569;;Harry;6.259
222;;Jannigje;6.540;;Henk;6.169
223;;Wilma;6.538;;Marius;6.099
224;;Josephine;6.519;;Liam;6.085
225;;Deborah;6.472;;Arjen;6.065
226;;Regina;6.426;;Mustafa;6.057
227;;Louisa;6.416;;Olivier;6.033
228;;Rosalie;6.358;;Maikel;5.993
229;;Margriet;6.354;;Jonathan;5.985
230;;Janny;6.302;;Mats;5.946
231;;Nora;6.240;;Henri;5.935
232;;Susanna;6.239;;Harmen;5.929
233;;Priscilla;6.237;;Michaël;5.912
234;;Sofie;6.231;;Quinten;5.886
235;;Mariëlle;6.219;;Edward;5.867
236;;Jill;6.188;;Thijmen;5.836
237;;Edith;6.182;;Bartholomeus;5.833
238;;Rachel;6.180;;Gerben;5.805
239;;Lara;6.149;;Ralph;5.758
240;;Christine;6.059;;Marijn;5.753
241;;Luna;5.980;;Douwe;5.745
242;;Jannie;5.940;;Hidde;5.730
243;;Agatha;5.926;;Kornelis;5.690
244;;Isabel;5.923;;Walter;5.682
245;;Isabella;5.914;;Oscar;5.649
246;;Renée;5.909;;Fabian;5.609
247;;Bo;5.906;;Rogier;5.603
248;;Noor;5.886;;Melvin;5.583
249;;Nadia;5.880;;Adam;5.489
250;;Bertha;5.865;;Samuel;5.483
251;;Loes;5.863;;Nico;5.440
252;;Kimberley;5.819;;Stef;5.436
253;;Antonetta;5.815;;Joshua;5.421
254;;Geesje;5.781;;Anthonius;5.329
255;;Lydia;5.734;;Ties;5.327
256;;Susan;5.706;;Alfred;5.297
257;;Gerdina;5.698;;Tygo;5.295
258;;Miriam;5.676;;Tobias;5.259
259;;Henriette;5.649;;Jesper;5.233
260;;Natascha;5.624;;Chris;5.227
261;;Esmée;5.602;;Twan;5.183
262;;Clasina;5.584;;Bryan;5.142
263;;Henderika;5.574;;Charles;5.134
264;;Teuntje;5.501;;Ruud;5.116
265;;Yvette;5.444;;Antoon;5.078
266;;Kimberly;5.442;;Björn;5.056
267;;Olga;5.438;;Jason;5.053
268;;Tanja;5.423;;Bjorn;5.047
269;;Dorothea;5.420;;Maurits;5.040
270;;Hannah;5.411;;Jimmy;4.948
271;;Sterre;5.350;;Glenn;4.931
272;;Yara;5.350;;Nicky;4.912
273;;Dominique;5.350;;Dick;4.905
274;;Shirley;5.318;;Ronny;4.885
275;;Anke;5.309;;Theo;4.871
276;;Daisy;5.299;;Leo;4.822
277;;Meike;5.298;;Jordi;4.816
278;;Engelina;5.292;;Olaf;4.810
279;;Sabrina;5.274;;Jim;4.804
280;;Elisa;5.272;;Mario;4.803
281;;Bente;5.251;;Roger;4.782
282;;Isabelle;5.234;;William;4.779
283;;Marja;5.184;;Christianus;4.745
284;;Suzanna;5.172;;Jurre;4.716
285;;Jenny;5.145;;Mitchell;4.704
286;;José;5.137;;Joël;4.689
287;;Rebecca;5.115;;Leonard;4.689
288;;Klazina;5.108;;Mick;4.683
289;;Annigje;5.098;;Gerhard;4.655
290;;Alice;5.096;;Cornelius;4.642
291;;Janine;5.047;;Siem;4.608
292;;Veerle;5.033;;Jarno;4.604
293;;Lianne;4.995;;Jean;4.588
294;;Annelies;4.967;;Anthony;4.583
295;;Nynke;4.957;;Laurentius;4.573
296;;Jansje;4.954;;Kees;4.563
297;;Julie;4.879;;Wilhelm;4.552
298;;Fatma;4.831;;Ibrahim;4.547
299;;Alberdina;4.790;;Jaap;4.519
300;;Clara;4.788;;Jelmer;4.519
301;;Gezina;4.788;;Anthonie;4.515
