;;Female;;;Males;
Rank;;initial given name;number;;initial given name;number
636;;Elske;1.909;;Armand;1.541
637;;Mascha;1.904;;Allard;1.531
638;;Femmigje;1.891;;Remon;1.523
639;;Felicia;1.882;;Noël;1.523
640;;Huberta;1.881;;Abdul;1.517
641;;Aafje;1.879;;Andrew;1.513
642;;Albertine;1.878;;Ruurd;1.512
643;;Sascha;1.872;;Carl;1.498
644;;Greta;1.872;;Raf;1.498
645;;Thirza;1.869;;Lennard;1.496
646;;Fiona;1.864;;Donald;1.495
647;;Hedwig;1.856;;Hicham;1.493
648;;Albertina;1.855;;Antonio;1.492
649;;Geertrui;1.855;;Timon;1.482
650;;Wanda;1.845;;Jordan;1.481
651;;Fatiha;1.844;;Tarik;1.476
652;;Arendje;1.838;;Johannus;1.475
653;;Jetske;1.836;;Mert;1.470
654;;Afra;1.835;;Geurt;1.469
655;;Gina;1.835;;Juan;1.462
656;;Mette;1.834;;Joran;1.457
657;;Jolijn;1.834;;Calvin;1.456
658;;Hermanna;1.831;;Storm;1.450
659;;Bregje;1.828;;Yuri;1.445
660;;Marjanne;1.827;;Jurriaan;1.439
661;;Gaby;1.826;;Egbertus;1.429
662;;Ivy;1.820;;Camiel;1.426
663;;Famke;1.815;;Miguel;1.424
664;;Anne-Marie;1.813;;Ewout;1.421
665;;Amal;1.813;;Ingmar;1.415
666;;Ilonka;1.799;;Ahmad;1.414
667;;Hélène;1.798;;Lourens;1.414
668;;Beau;1.789;;Sidney;1.413
669;;;1.789;;Waltherus;1.413
670;;Pamela;1.788;;Gert-Jan;1.412
671;;Tine;1.786;;Mimoun;1.410
672;;Lily;1.786;;Sean;1.410
673;;Chloë;1.786;;Norbert;1.409
674;;Hinke;1.778;;Fredrik;1.404
675;;Anniek;1.775;;Anouar;1.402
676;;Egberdina;1.762;;Joachim;1.402
677;;Rosita;1.760;;Igor;1.398
678;;Francis;1.747;;Ramazan;1.394
679;;Tonia;1.747;;Emir;1.391
680;;Birgit;1.744;;Scott;1.389
681;;Renata;1.743;;Yorick;1.384
682;;Ellis;1.738;;Samuël;1.381
683;;Annet;1.736;;Kian;1.381
684;;Jantien;1.726;;Alain;1.381
685;;Frederique;1.725;;Imran;1.372
686;;Shannon;1.723;;Raymon;1.355
687;;Mare;1.722;;Luciano;1.354
688;;Lindsay;1.721;;Amin;1.352
689;;Mariam;1.718;;Wieger;1.351
690;;Maya;1.717;;Yassin;1.349
691;;Florence;1.717;;;1.341
692;;Inez;1.716;;Perry;1.338
693;;Fabienne;1.710;;Bruno;1.327
694;;Elsa;1.709;;Brahim;1.325
695;;Monika;1.694;;Bobby;1.322
696;;Naima;1.690;;Stephen;1.317
697;;Rowena;1.687;;Martien;1.316
698;;Hermine;1.685;;Alphons;1.313
699;;Yasmina;1.673;;Taco;1.311
700;;Daniëlla;1.667;;Tiemen;1.309
701;;Aicha;1.665;;Sipke;1.307
702;;Manouk;1.664;;Jayson;1.306
703;;Dionne;1.658;;Rodney;1.305
704;;Stijntje;1.656;;Sergio;1.298
705;;Boukje;1.644;;Lenn;1.296
706;;Mia;1.642;;Xavier;1.293
707;;Jaimy;1.638;;Renatus;1.290
708;;Sheila;1.635;;Gerald;1.289
709;;Marianna;1.631;;Anass;1.282
710;;Rozemarijn;1.630;;Abdellah;1.281
711;;Aldegonda;1.626;;Jorg;1.279
712;;Lidwina;1.613;;Dinand;1.276
713;;Marlou;1.611;;Hielke;1.273
714;;Laila;1.608;;Dominicus;1.268
715;;Latifa;1.605;;Stefano;1.264
716;;Malou;1.601;;Sietze;1.257
717;;Hajar;1.600;;Deniz;1.256
718;;Chiara;1.591;;Eelke;1.255
719;;Lamberdina;1.586;;Fred;1.255
720;;Jannette;1.583;;Hakan;1.255
721;;Yfke;1.581;;Alfons;1.254
722;;Gretha;1.574;;Elbert;1.252
723;;Arina;1.558;;Ilyas;1.251
724;;Dianne;1.557;;Rinze;1.251
725;;Bastiaantje;1.553;;Hilbert;1.250
726;;Rachelle;1.553;;Reijer;1.250
727;;Marijn;1.551;;Jake;1.245
728;;Klaaske;1.537;;Marko;1.241
729;;Sharona;1.536;;Halil;1.237
730;;Bernarda;1.528;;Tony;1.231
731;;Lois;1.526;;Duuk;1.227
732;;Youssra;1.521;;Duco;1.221
733;;Saida;1.520;;Jürgen;1.220
734;;Marga;1.517;;Aaldert;1.219
735;;Hetty;1.516;;Oliver;1.215
736;;Herma;1.513;;Reindert;1.209
737;;Dieuwertje;1.511;;Jans;1.207
738;;Maike;1.506;;Adil;1.207
739;;Layla;1.506;;Gilbert;1.206
740;;Chelsea;1.500;;Gerwin;1.205
741;;Livia;1.497;;Farid;1.205
742;;Metje;1.496;;Denny;1.202
743;;Caitlin;1.494;;Olav;1.202
744;;Salma;1.491;;Hamid;1.189
745;;Lucie;1.490;;Thierry;1.185
746;;Céline;1.490;;Redouan;1.184
747;;Farah;1.489;;Sybren;1.184
748;;Machteld;1.488;;Kick;1.183
749;;Greetje;1.488;;Ewoud;1.179
750;;Serena;1.487;;Dingeman;1.179
751;;Nellie;1.485;;Cornelus;1.177
752;;Derkje;1.483;;Jean-Paul;1.174
753;;Annetje;1.483;;Manfred;1.173
754;;Krista;1.480;;Dries;1.171
755;;Willeke;1.479;;Kenny;1.169
756;;Siham;1.479;;Kyano;1.167
757;;Rabia;1.475;;Quint;1.167
758;;Berdina;1.472;;Taeke;1.166
759;;Fokje;1.472;;Burak;1.165
760;;Rika;1.471;;Wietze;1.162
761;;Heintje;1.469;;Ward;1.160
762;;Hillechien;1.469;;Sebastianus;1.159
763;;Carina;1.466;;Enrico;1.154
764;;Kornelia;1.464;;Tonny;1.152
765;;Lindy;1.456;;Emanuel;1.152
766;;Farida;1.450;;Evan;1.145
767;;Wijnanda;1.448;;Gregory;1.144
768;;Ada;1.447;;Don;1.144
769;;Rosalia;1.447;;Devin;1.143
770;;Jente;1.446;;Nout;1.142
771;;Leyla;1.442;;Nabil;1.135
772;;Margaret;1.442;;Abdelkader;1.134
773;;Dingena;1.437;;Levy;1.128
774;;Hailey;1.436;;Justus;1.122
775;;Gertrude;1.432;;Jur;1.114
776;;Lucy;1.432;;Achraf;1.113
777;;Ilja;1.427;;Pelle;1.110
778;;Evie;1.427;;Sjouke;1.104
779;;Zara;1.423;;Van;1.104
780;;Marretje;1.417;;Josef;1.100
781;;Marie-Louise;1.411;;Francis;1.099
782;;Niesje;1.408;;Rienk;1.096
783;;Geessien;1.404;;Aziz;1.092
784;;Jenna;1.401;;Benny;1.088
785;;Joukje;1.401;;Edo;1.085
786;;Silvana;1.394;;Fouad;1.083
787;;Angelica;1.393;;Ernest;1.083
788;;Kyara;1.390;;Constantijn;1.083
789;;Merve;1.383;;Yves;1.079
790;;Kate;1.380;;Ayman;1.077
791;;Elles;1.379;;Theunis;1.076
792;;Grace;1.378;;Rafaël;1.076
793;;Jolie;1.376;;Remi;1.072
794;;Laurentia;1.375;;Han;1.071
795;;Chayenne;1.374;;Arnout;1.068
796;;Tirza;1.370;;Yoeri;1.068
797;;Annemijn;1.369;;Durk;1.065
798;;Willemke;1.366;;Guy;1.065
799;;Lambertha;1.362;;Aldert;1.055
800;;Patty;1.353;;Amar;1.054
801;;Leonora;1.351;;Reinout;1.053
802;;Barbera;1.346;;Philippe;1.053
803;;Talitha;1.344;;Dominic;1.050
804;;Renee;1.344;;Juul;1.048
805;;Frieda;1.342;;Everhardus;1.045
806;;Gabriëlla;1.340;;Driss;1.044
807;;Jolande;1.337;;Furkan;1.044
808;;Marcia;1.336;;Egidius;1.043
809;;Alina;1.331;;Koert;1.043
810;;Hennie;1.331;;Norbertus;1.039
811;;Marchien;1.321;;Wilbert;1.034
812;;Philomena;1.318;;Kris;1.022
813;;Tamar;1.318;;Ole;1.019
814;;Titia;1.317;;Shane;1.018
815;;Hanane;1.315;;Toon;1.017
816;;Reintje;1.314;;Julien;1.017
817;;Lucienne;1.314;;Joop;1.016
818;;Ayla;1.307;;Arda;1.016
819;;Romée;1.300;;Enzo;1.015
820;;Pascalle;1.291;;Tjalling;1.015
821;;Jenneken;1.287;;Izaäk;1.014
822;;Najat;1.285;;Raimond;1.010
823;;Lot;1.284;;Roman;1.009
824;;Mechelina;1.282;;Denis;1.006
825;;Leontine;1.281;;Emil;1.006
826;;Aline;1.281;;Joas;1.001
827;;Berber;1.277;;Kadir;1.001
828;;Sijtske;1.275;;Gilles;998
829;;Eugenie;1.273;;Abdeslam;995
830;;Klaske;1.272;;Enes;991
831;;Mira;1.272;;Yunus;988
832;;Flora;1.267;;Catharinus;988
833;;Heiltje;1.264;;Daley;987
834;;Kelsey;1.263;;Maas;984
835;;Meta;1.262;;Amine;984
836;;Stacey;1.262;;Riley;981
837;;Goverdina;1.259;;Adem;980
838;;Zehra;1.253;;Ewald;978
839;;Leuntje;1.252;;Romeo;978
840;;Roelfina;1.252;;Jace;976
841;;Alma;1.251;;Joppe;975
842;;Rosemarie;1.241;;Wouterus;974
843;;Ali;1.241;;Gosse;972
844;;Arnoldina;1.239;;Bruce;972
845;;Lea;1.239;;Tieme;972
846;;Arianne;1.238;;Aalbert;969
847;;Dilara;1.236;;Abdelaziz;968
848;;Fem;1.235;;Willebrordus;964
849;;Pascale;1.235;;Leander;959
850;;Esma;1.235;;Vigo;958
851;;Yasemin;1.235;;Soufiane;956
852;;Gwendolyn;1.234;;Pier;955
853;;Celina;1.231;;Geoffrey;953
854;;Myrna;1.229;;Mounir;953
855;;Rose;1.228;;Abe;949
856;;Amélie;1.226;;Denzel;949
857;;Katinka;1.224;;Lubbert;949
858;;Fadma;1.223;;Fernando;949
859;;Emilia;1.218;;Abram;949
860;;Diede;1.218;;Kristian;945
861;;Leanne;1.216;;Jonah;945
862;;Marlene;1.216;;Boyd;943
863;;Nelleke;1.216;;Steve;943
864;;Ardina;1.215;;Ferdi;941
865;;Doris;1.215;;M'hamed;940
866;;Marrit;1.214;;Sake;937
867;;Tietje;1.210;;Kaan;937
868;;Hayat;1.202;;Walid;933
869;;Pietronella;1.200;;Feike;932
870;;Anneloes;1.200;;Barteld;931
871;;Cheryl;1.197;;Sijtze;931
872;;Linsey;1.197;;Damiën;925
873;;Florine;1.196;;Jilles;925
874;;Yamina;1.189;;Mauro;924
875;;Jozefina;1.189;;Hylke;921
876;;Ikram;1.188;;Jax;919
877;;Daniek;1.187;;Pedro;918
878;;Dorine;1.179;;Roald;916
879;;Harmanna;1.177;;Gabriel;915
880;;Odette;1.177;;Süleyman;915
881;;Cora;1.170;;Karl;914
882;;Anissa;1.163;;Elijah;912
883;;Corinne;1.157;;Lubbertus;912
884;;Birgitta;1.155;;Gregorius;909
885;;Afke;1.155;;Fokko;909
886;;Geziena;1.155;;Thimo;904
887;;Jip;1.154;;Age;903
888;;Conny;1.153;;Lasse;903
889;;Hanne;1.148;;Sijmen;903
890;;Celeste;1.147;;Sonny;901
891;;Frédérique;1.146;;Moos;900
892;;Jorien;1.143;;Dyon;898
893;;Lobke;1.139;;Yassir;897
894;;Evelina;1.139;;Mourad;897
895;;Shanna;1.137;;Ate;892
896;;Janette;1.135;;Leopold;890
897;;Kaoutar;1.135;;Isaac;890
898;;Azra;1.134;;Raphaël;889
899;;Féline;1.130;;Gerbrand;889
900;;Gea;1.120;;Kars;887
901;;Bouchra;1.116;;Metin;885
902;;Christiana;1.113;;Viggo;882
903;;Halima;1.111;;Wilfried;881
904;;Jacobje;1.110;;Patricius;881
905;;Geraldine;1.109;;Alan;880
906;;Stéphanie;1.106;;Jessy;878
907;;Klara;1.104;;Alle;876
908;;Mayke;1.103;;Mels;875
909;;Angeline;1.102;;Kenan;872
910;;Chloé;1.101;;Muhammad;871
911;;Oumaima;1.098;;Nicolas;866
912;;Natasha;1.095;;Jurriën;866
913;;Selena;1.095;;Adnan;864
914;;Frederike;1.093;;Godfried;864
915;;Fieke;1.093;;Quirinus;863
916;;Aïcha;1.085;;Gianni;862
917;;Marike;1.085;;Silvan;862
918;;Dounia;1.084;;Orlando;861
919;;Natalia;1.081;;Renier;857
920;;Aylin;1.080;;Nassim;856
921;;Abigail;1.080;;Stein;856
922;;Nada;1.079;;Corné;854
923;;Asma;1.074;;Engbert;854
924;;Virginia;1.069;;Semih;848
925;;Angel;1.066;;Jeffry;848
926;;Franciska;1.062;;Karsten;846
927;;Jara;1.061;;Reginald;845
928;;Aria;1.060;;Izaak;840
929;;Gertrud;1.059;;Marciano;837
930;;Marijtje;1.058;;Salih;837
931;;Nena;1.051;;Salim;835
932;;Willemien;1.051;;Kjell;835
933;;Liduina;1.050;;Robert-Jan;834
934;;Roosmarijn;1.047;;Harrie;831
935;;Mildred;1.046;;Gezinus;831
936;;Hafida;1.039;;Noureddine;830
937;;Barendina;1.037;;Huig;829
938;;Irmgard;1.037;;Swen;828
939;;Melisa;1.036;;Armin;825
940;;Jana;1.035;;Emmanuel;824
941;;Tannetje;1.034;;Dante;824
942;;Margretha;1.032;;Senne;823
943;;Jaylinn;1.031;;Joram;821
944;;Marlous;1.029;;Bennie;820
945;;Eleonore;1.028;;Naud;819
946;;Leah;1.026;;Jermaine;818
947;;Maja;1.026;;Fabio;818
948;;Dora;1.024;;Karst;816
949;;Safae;1.022;;Koos;815
950;;Destiny;1.020;;Ferdinandus;814
951;;Corrie;1.019;;Serkan;814
952;;Sarina;1.014;;Alfonsus;811
953;;Françoise;1.014;;Johny;810
954;;Roelfien;1.014;;Kim;809
955;;Tiny;1.012;;Reza;809
956;;Alisha;1.012;;IJsbrand;809
957;;Annick;1.011;;Dennie;808
958;;Bastiana;1.011;;Jakobus;808
959;;Catherine;1.006;;Francisco;804
960;;Romana;1.006;;Sverre;804
961;;Gerry;1.004;;Benno;803
962;;Sylvie;1.002;;Silvester;802
963;;Wieke;1.001;;Faas;801
964;;Marly;1.000;;Kas;799
965;;Luca;996;;Donovan;799
966;;Hülya;995;;Otis;798
967;;Augusta;992;;Rody;797
968;;Ivana;991;;Orhan;796
969;;Elina;985;;Yoran;795
970;;Josine;985;;Toby;795
971;;Valentina;983;;Romke;792
972;;Lian;979;;Ted;790
973;;Huiberdina;978;;Bouwe;789
974;;Irina;978;;Kjeld;789
975;;Leila;975;;Dirk-Jan;782
976;;Josefien;975;;Musa;780
977;;Wies;974;;Valentino;780
978;;Sijke;973;;Siebren;778
979;;Nicolle;973;;Renze;775
980;;Magda;971;;Rene;774
981;;Eelkje;971;;Eren;773
982;;Michèle;970;;Oussama;773
983;;Ciska;969;;Reinoud;772
984;;Loubna;967;;Dustin;772
985;;Jessy;966;;Marouane;768
986;;Fredrika;965;;Steffen;768
987;;Jikke;964;;Elroy;765
988;;Godefrida;963;;Nanne;763
989;;Lilly;961;;Onur;763
990;;Frederica;959;;Len;762
991;;Myra;959;;Chi;761
992;;Chelsey;958;;Winston;761
993;;Stientje;956;;Rudolfus;761
994;;Pip;955;;Yvo;760
995;;Hinderika;954;;Eddie;760
996;;Yolande;953;;Humphrey;756
997;;Gepke;951;;Wicher;755
998;;Helma;950;;Danilo;753
999;;Divera;947;;Ludwig;752
1000;;Estelle;946;;Jorik;751
1001;;Ise;944;;Teije;751
1002;;Anastasia;942;;Engelbert;750
1003;;Dimphna;941;;Armando;750
1004;;Jennie;938;;Alec;742
1005;;Gisela;938;;Antony;741
1006;;Valérie;936;;Rowin;741
1007;;Nisa;934;;Aris;740
1008;;Aleyna;932;;Kemal;740
1009;;Willie;932;;Edmond;737
1010;;Özlem;929;;Saïd;736
1011;;Yentl;929;;Bodhi;734
1012;;Jildou;928;;Ton;732
1013;;Betty;925;;Mahmut;732
1014;;Mijntje;924;;Jurian;730
1015;;Jinte;924;;Tigo;728
1016;;Odilia;921;;Ids;727
1017;;Linn;921;;Friedrich;726
1018;;Marsha;919;;Imad;723
1019;;Nine;918;;Tyler;723
1020;;Lammigje;917;;Kamal;723
1021;;Hildegard;917;;Cees;722
1022;;Naoual;916;;Fynn;722
1023;;Ebru;915;;Viktor;717
1024;;Willemtje;915;;Luis;716
1025;;Rixt;913;;Timmy;715
1026;;Jiska;910;;Abderrahman;713
1027;;Derya;909;;Meine;711
1028;;Tiffany;907;;Matthieu;710
1029;;Jody;906;;Siemen;709
1030;;Lesley;906;;Reint;709
1031;;Engeltje;905;;Zeger;708
1032;;Marjo;904;;Rémon;707
1033;;Mylène;903;;Elwin;704
1034;;Jasmine;901;;Terence;704
1035;;Margarita;898;;Abdelkarim;703
1036;;Francine;897;;Didier;701
1037;;Brechtje;897;;Yahya;701
1038;;Shania;896;;Derek;700
1039;;Ilham;896;;Sijbren;699
1040;;Lysanne;895;;Ilja;699
1041;;Lammechien;894;;Jacky;698
1042;;Souad;893;;Benedictus;698
1043;;Truus;893;;Jaouad;698
1044;;Sanae;891;;Jurrien;697
1045;;Gabrielle;889;;Cedric;697
1046;;Geerdina;888;;Kylian;696
1047;;Henrike;888;;Kerem;695
1048;;Wendelina;886;;Diederick;695
1049;;Cecile;885;;Sylvester;694
1050;;Laurina;884;;Jantinus;692
1051;;Muriël;882;;Huib;689
1052;;Richelle;879;;Norman;688
1053;;Tatiana;878;;Lubertus;688
1054;;Laurie;878;;Anwar;686
1055;;Marthe;877;;Demian;685
1056;;Theadora;876;;Anas;684
1057;;Rosalina;876;;Boet;682
1058;;Amelia;876;;Ayden;681
1059;;Euphemia;874;;Tibbe;681
1060;;Colinda;871;;Harun;680
1061;;Margrietha;870;;Hieronymus;679
1062;;Jantiena;870;;Naoufal;677
1063;;Marielle;870;;Mehdi;676
1064;;Roelie;869;;Mik;674
1065;;Teuna;869;;Steijn;672
1066;;Jette;867;;Rinse;671
1067;;Wijtske;866;;Jitse;671
1068;;Anoek;865;;Charlie;670
1069;;Savannah;863;;Aidan;669
1070;;Rowan;861;;Lloyd;665
1071;;Lorena;861;;Haci;664
1072;;Gijsbertje;861;;Gerlof;664
1073;;Marjorie;860;;Hilbrand;664
1074;;Augustina;859;;Cem;664
1075;;Anique;853;;Wai;664
1076;;Puk;853;;Riemer;662
1077;;Myriam;853;;Tommie;662
1078;;Habiba;852;;Elmar;660
1079;;Lutske;851;;Tijl;660
1080;;Colette;851;;Timotheüs;657
1081;;Marwa;851;;Hubrecht;657
1082;;Rana;849;;Foppe;656
1083;;Chanel;848;;Okke;656
1084;;Tatjana;847;;Izak;655
1085;;Elaine;846;;Kenji;654
1086;;Rosan;846;;Rudie;654
1087;;Iza;846;;Gökhan;652
1088;;Zohra;842;;Roderik;652
1089;;Anouschka;842;;Damon;651
1090;;Janice;842;;Muhammet;650
1091;;Sanna;841;;Silas;649
1092;;Fadime;841;;Sinan;647
1093;;Liane;840;;Huibrecht;646
1094;;Hanan;839;;Mattijs;646
1095;;Tetje;838;;Mahmoud;644
1096;;Soumaya;837;;Mannes;643
1097;;Cathelijne;836;;Erkan;641
1098;;Aisha;835;;Ayhan;641
1099;;Phileine;834;;Mink;640
1100;;Lia;834;;Pablo;638
1101;;Manja;831;;Walterus;637
1102;;Alissa;829;;Rohan;636
1103;;Nika;828;;Berat;636
1104;;Hinderkien;828;;Nicholas;636
1105;;Elsbeth;825;;Engel;635
1106;;Ymke;824;;Nolan;634
1107;;Marita;823;;Damien;634
1108;;Marlon;822;;Abderrahim;634
1109;;Mayra;820;;Mikail;632
1110;;Zoey;819;;Maxime;631
1111;;Vajèn;816;;Elmer;631
1112;;Jackie;816;;Arian;630
1113;;Esmay;815;;Hinderikus;629
1114;;Sibel;815;;Constant;628
1115;;Dilek;813;;Corstiaan;628
1116;;Noah;813;;Yordi;625
1117;;June;812;;Eliza;624
1118;;Selin;812;;Mads;623
1119;;Quincy;811;;Joan;621
1120;;Roelina;811;;Dario;621
1121;;Clementine;811;;Bernd;621
1122;;Chaima;810;;Mostafa;620
1123;;Jasmin;810;;Nando;619
1124;;Arlette;810;;Pleun;618
1125;;Wilhelmine;810;;Ray;616
1126;;Martijntje;807;;Logan;616
1127;;Daantje;806;;Matteo;616
1128;;Alijda;805;;Erol;615
1129;;Romee;805;;Moussa;615
1130;;Rahma;803;;Sacha;612
1131;;Mijke;803;;Soufian;611
1132;;Pleuntje;802;;Myron;611
1133;;Filiz;801;;Rinke;610
1134;;Anny;798;;Georgius;608
1135;;Jaantje;796;;Jozua;608
1136;;Marjoleine;796;;Sascha;608
1137;;Georgina;795;;Berkay;607
1138;;Annetta;795;;Issam;607
1139;;Véronique;793;;Minne;606
1140;;Fennigje;792;;Steyn;606
1141;;Mimount;792;;Joe;605
1142;;Bea;792;;Devon;605
1143;;Ghislaine;791;;Theodor;604
1144;;Nour;790;;Arij;603
1145;;Lidia;790;;Maria;602
1146;;Esmé;790;;Filip;602
1147;;Rosanna;789;;Koop;601
1148;;Annabelle;787;;Arent;601
1149;;Ankie;787;;Youp;600
1150;;Dymphna;786;;Marcelis;599
1151;;Robine;784;;Dionysius;597
1152;;Franka;782;;Wes;597
1153;;Manou;781;;Anno;596
1154;;Jakoba;781;;Georg;594
1155;;Salima;780;;Miquel;593
1156;;Antonette;779;;Alphonsius;592
1157;;Mirre;777;;Titus;591
1158;;Charlie;777;;Serdar;591
1159;;Gerridina;777;;Quentin;590
1160;;Margareta;776;;Ferhat;590
1161;;Jada;776;;Jörgen;589
1162;;Viola;776;;Toine;588
1163;;Saartje;776;;Rense;587
1164;;Tina;771;;Cor;585
1165;;Janita;770;;Bayram;584
1166;;Hakima;769;;Mickey;582
1167;;Gabriella;767;;Jetze;581
1168;;Aaliyah;767;;Desmond;581
1169;;Catherina;763;;Nadir;580
1170;;Wouterina;763;;Ashwin;579
1171;;Josien;763;;Mylan;579
1172;;Wijntje;762;;Henny;578
1173;;Germaine;761;;Kane;578
1174;;Noura;759;;Reda;578
1175;;Faith;758;;Bekir;577
1176;;Rosalinde;756;;Francesco;577
1177;;Caecilia;756;;Franz;576
1178;;Hiske;756;;Arnaud;576
1179;;Anika;755;;Tjibbe;575
1180;;Liva;755;;Wijbe;573
1181;;Sana;754;;Jord;573
1182;;Jacky;753;;Troy;572
1183;;Karolina;751;;Jozeph;571
1184;;Henrika;751;;Dorus;571
1185;;Rania;750;;Ramón;571
1186;;Melody;749;;Ignatius;571
1187;;Melek;749;;Sikke;570
1188;;Kris;749;;Maximilian;570
1189;;Pia;746;;Leonardo;570
1190;;Harma;744;;Misha;569
1191;;Jayda;744;;Eli;569
1192;;Saloua;743;;Jairo;569
1193;;Hermien;743;;Sjaak;569
1194;;Josefina;740;;Remmelt;568
1195;;Gijsberdina;740;;Melchior;567
1196;;Annemarieke;739;;Rocco;567
1197;;Berendje;738;;Andre;566
1198;;Sultan;737;;Jaron;566
1199;;Feikje;737;;Midas;565
1200;;Hafsa;734;;Siegfried;565
1201;;Bartha;734;;Steffan;565
1202;;Kübra;734;;Lev;565
1203;;Yuna;733;;Selim;564
1204;;Sijgje;733;;Melis;564
1205;;Fanny;732;;Badr;562
1206;;Ilayda;732;;Abdelmajid;561
1207;;Emy;731;;Dolf;561
1208;;Thérèse;729;;Terry;560
1209;;Mathea;729;;Joren;560
1210;;Rebekka;728;;Dwayne;560
1211;;Daniela;728;;Imre;559
1212;;Zainab;727;;Wijtze;558
1213;;Georgette;727;;Wilko;557
1214;;Henrietta;725;;Djayden;557
1215;;Tessel;724;;Nordin;556
1216;;Lenie;724;;Antoni;556
1217;;Pascal;724;;Kyle;555
1218;;Sienna;723;;Wytze;555
1219;;Rina;721;;Gerjan;554
1220;;Levina;721;;Raphael;553
1221;;Rosina;720;;Seb;553
1222;;Jacquelina;719;;Recep;553
1223;;Corry;718;;Akram;553
1224;;Johanne;717;;Henderik;551
1225;;Giulia;717;;Jorick;551
1226;;Sytske;716;;Eibert;551
1227;;Nicolina;714;;Jaïr;551
1228;;Teunisje;713;;Leslie;550
1229;;Jeanet;713;;Aram;550
1230;;Norma;713;;Nelson;550
1231;;Frederieke;713;;Marwan;550
1232;;Nisrine;713;;Freddie;549
1233;;Nicolien;712;;Adrian;549
1234;;Roza;712;;Jozephus;548
1235;;Cassandra;711;;Sytze;548
1236;;Ansje;710;;Bartus;548
1237;;Gloria;709;;Cengiz;546
1238;;Kira;708;;Jimi;546
1239;;Bonnie;707;;Jurrian;544
1240;;Milena;707;;Henrikus;544
1241;;Quirine;707;;Umut;543
1242;;Maura;704;;Mesut;543
1243;;Naïma;703;;Tonnis;542
1244;;Indra;703;;Frederick;540
1245;;Manal;702;;Bonne;539
1246;;Ine;702;;Hussein;538
1247;;Ayse;701;;Jorge;538
1248;;Alysha;701;;Abdelilah;537
1249;;Dian;701;;Volkan;536
1250;;Marlijn;699;;Fons;535
1251;;Gijsje;698;;Elbertus;534
1252;;Inaya;698;;Safouan;529
1253;;Hellen;698;;Moreno;529
1254;;Flore;698;;Hermannes;529
1255;;Judy;697;;Reno;529
1256;;Beyza;697;;Falco;527
1257;;Mariette;696;;Oskar;527
1258;;Demy;696;;Eray;526
1259;;Imme;695;;Quin;524
1260;;Hedy;694;;Lewis;522
1261;;Marigje;694;;Sammy;520
1262;;Ans;694;;Gjalt;520
1263;;Cécile;692;;Arif;520
1264;;Gladys;690;;Erick;520
1265;;Fee;690;;Jozias;519
1266;;Sevim;690;;Batuhan;519
1267;;Josje;690;;Isa;519
1268;;Henderkien;689;;Rinaldo;518
1269;;Henrieke;689;;Ariën;518
1270;;Justine;688;;Joah;517
1271;;Meintje;688;;Luciën;517
1272;;Sabrine;688;;Rory;517
1273;;Elle;685;;Can;517
1274;;Lente;685;;Matz;516
1275;;Betül;685;;Emirhan;514
1276;;Kiara;683;;Nelis;513
1277;;Asmae;681;;Hillebrand;513
1278;;Frouke;681;;Arvid;512
1279;;Melinda;681;;Ramses;512
1280;;Celia;679;;Roemer;512
1281;;Louiza;677;;Bartel;510
1282;;Ninthe;677;;Soufyan;510
1283;;Paola;676;;Ale;510
1284;;Geurtje;675;;Sieger;510
1285;;Sita;673;;Wander;509
1286;;Nadja;673;;Errol;509
1287;;Jeske;672;;Bjarne;507
1288;;Eef;672;;Ferdy;507
1289;;Marisa;672;;Abdelhamid;507
1290;;Niki;671;;Michèl;506
1291;;Saliha;671;;Jelke;506
1292;;Eefke;670;;Jochum;506
1293;;Joëlla;670;;Just;505
1294;;Kaya;670;;Indy;504
1295;;Yinthe;670;;Flip;504
1296;;IJtje;669;;Emin;502
1297;;Evelyne;669;;Tyrone;502
1298;;Mona;668;;Aydin;501
1299;;Pieterke;667;;;
1300;;Mechtilda;667;;;
1301;;Dani;667;;;
1302;;Chaimae;666;;;
1303;;Florien;666;;;
1304;;Fadoua;666;;;
1305;;Robyn;665;;;
1306;;Denice;665;;;
1307;;Babs;664;;;
1308;;Teresa;661;;;
1309;;Joni;661;;;
1310;;Marinka;661;;;
1311;;Catharine;661;;;
1312;;Elfriede;660;;;
1313;;Tatum;660;;;
1314;;Ines;659;;;
1315;;Saakje;658;;;
1316;;Vicky;658;;;
1317;;Muriel;658;;;
1318;;Annelieke;657;;;
1319;;Irem;656;;;
1320;;Bernice;656;;;
1321;;Klaartje;655;;;
1322;;Christianne;654;;;
1323;;Gonda;654;;;
1324;;Lotus;653;;;
1325;;Fréderique;653;;;
1326;;Alisa;652;;;
1327;;Liselot;652;;;
1328;;Babet;652;;;
1329;;Woutera;651;;;
1330;;Bettina;650;;;
1331;;Aziza;650;;;
1332;;Maren;648;;;
1333;;Lizette;646;;;
1334;;Lucretia;646;;;
1335;;Huibertje;645;;;
1336;;Sevgi;645;;;
1337;;Daniella;645;;;
1338;;Nola;644;;;
1339;;Iman;644;;;
1340;;Lucinda;643;;;
1341;;Ela;643;;;
1342;;Senne;641;;;
1343;;Asha;640;;;
1344;;Fennechien;639;;;
1345;;Evita;639;;;
1346;;Hannelore;639;;;
1347;;Ize;638;;;
1348;;Verena;637;;;
1349;;Gertruida;637;;;
1350;;Tosca;636;;;
